[2026-06-09 03:07:33,561: INFO: main: >>>>>> stage Evaluation completed <<<<<<

x==========x]
[2026-06-09 03:09:04,191: INFO: main: >>>>>> stage Data Ingestion started <<<<<<]
[2026-06-09 03:09:04,192: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-09 03:09:04,193: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-09 03:09:04,193: INFO: common: created directory at: artifacts]
[2026-06-09 03:09:04,193: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-09 03:09:04,194: INFO: data_ingestion: Copying data from kidney.zip to artifacts\data_ingestion\data.zip]
[2026-06-09 03:09:04,194: INFO: data_ingestion: File already exists at: artifacts\data_ingestion\data.zip]
[2026-06-09 03:09:04,194: INFO: data_ingestion: Extracting artifacts\data_ingestion\data.zip to artifacts\data_ingestion]
[2026-06-09 03:09:05,342: INFO: data_ingestion: Extraction completed successfully!]
[2026-06-09 03:09:05,342: INFO: main: >>>>>> stage Data Ingestion completed <<<<<<

x==========x]
[2026-06-09 03:09:05,342: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2026-06-09 03:09:05,343: INFO: common: created directory at: artifacts\prepare_base_model]
[2026-06-09 03:09:05,343: INFO: prepare_base_model: Creating placeholder for base model artifacts]
[2026-06-09 03:09:05,344: INFO: prepare_base_model: Base model placeholder saved at: artifacts\prepare_base_model\base_model.txt]
[2026-06-09 03:09:05,344: INFO: main: >>>>>> stage Prepare Base Model completed <<<<<<

x==========x]
[2026-06-09 03:09:05,344: INFO: main: >>>>>> stage Training started <<<<<<]
[2026-06-09 03:09:05,344: INFO: common: created directory at: artifacts\training]
[2026-06-09 03:09:05,344: INFO: model_trainer: Running placeholder training process]
[2026-06-09 03:09:05,345: INFO: model_trainer: Placeholder model saved at: artifacts\training\model.h5]
[2026-06-09 03:09:05,345: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2026-06-09 03:09:05,345: INFO: main: >>>>>> stage Evaluation started <<<<<<]
[2026-06-09 03:09:05,346: INFO: common: created directory at: artifacts\evaluation]
[2026-06-09 03:09:05,346: INFO: model_evaluation_mlflow: Running placeholder evaluation]
[2026-06-09 03:09:05,346: INFO: model_evaluation_mlflow: Evaluation metrics saved at: C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\scores.json]
[2026-06-09 03:09:05,346: INFO: main: >>>>>> stage Evaluation completed <<<<<<

x==========x]
[2026-06-09 03:36:18,419: INFO: main: >>>>>> stage Data Ingestion started <<<<<<]
[2026-06-09 03:36:18,422: ERROR: main: Invalid YAML file: config\config.yaml
while scanning a double-quoted scalar
  in "config\config.yaml", line 5, column 15
expected escape sequence of 8 hexadecimal numbers, but found 's'
  in "config\config.yaml", line 5, column 20]
Traceback (most recent call last):
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\src\cnnClassifier\utils\common.py", line 15, in read_yaml
    content = yaml.safe_load(yaml_file) or {}
              ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\__init__.py", line 125, in safe_load
    return load(stream, SafeLoader)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\__init__.py", line 81, in load
    return loader.get_single_data()
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\constructor.py", line 49, in get_single_data
    node = self.get_single_node()
           ^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 36, in get_single_node
    document = self.compose_document()
               ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 55, in compose_document
    node = self.compose_node(None, None)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 84, in compose_node
    node = self.compose_mapping_node(anchor)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 133, in compose_mapping_node
    item_value = self.compose_node(node, item_key)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 84, in compose_node
    node = self.compose_mapping_node(anchor)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 133, in compose_mapping_node
    item_value = self.compose_node(node, item_key)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\composer.py", line 64, in compose_node
    if self.check_event(AliasEvent):
       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\parser.py", line 98, in check_event
    self.current_event = self.state()
                         ^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\parser.py", line 449, in parse_block_mapping_value
    if not self.check_token(KeyToken, ValueToken, BlockEndToken):
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\scanner.py", line 116, in check_token
    self.fetch_more_tokens()
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\scanner.py", line 251, in fetch_more_tokens
    return self.fetch_double()
           ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\scanner.py", line 655, in fetch_double
    self.fetch_flow_scalar(style='"')
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\scanner.py", line 666, in fetch_flow_scalar
    self.tokens.append(self.scan_flow_scalar(style))
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\Kidney-Disease-Classification-DL-Project-DVC\.venv\Lib\site-packages\yaml\scanner.py", line 1149, in scan_flow_scalar
